Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,10.56469,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,"Congo, Rep.",COG,..,32.5349,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Costa Rica,CRI,..,..,406.20873,337.24403,355.11641,568.46192,495.2758,525.37635,380.40758,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Croatia,HRV,..,1529.33272,1587.48964,1556.84123,1526.68079,1437.42986,1504.17896,1850.49572,1868.34023,1921.13136,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Cyprus,CYP,..,434.37809,1063.79153,1017.46435,1036.13054,1064.92501,1009.05438,1050.53568,1196.43246,1255.85256,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Czech Republic,CZE,..,1346.24335,2903.66154,3139.23525,3237.23584,3402.82622,3592.07367,3516.17175,3682.03353,3862.67088,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Denmark,DNK,..,..,7017.93917,7143.2887,7071.13776,7310.65804,7528.26439,7846.65759,7924.95265,8065.88729,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Dominican Republic,DOM,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Ecuador,ECU,..,..,179.50769,281.16658,350.66109,399.48996,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,"Egypt, Arab Rep.",EGY,..,..,491.76349,517.14349,539.02144,675.24227,672.94068,689.24608,677.10022,686.71743,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,El Salvador,SLV,..,..,..,..,..,..,63.23987,65.76315,63.71196,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Estonia,EST,..,1905.49434,3397.58185,3462.92471,3341.01051,3284.26311,3183.24369,3295.07562,3542.54618,3755.32912,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Eswatini,SWZ,..,..,..,..,..,..,142.34351,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Ethiopia,ETH,..,..,..,..,44.73122,..,..,..,90.52892,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Fiji,FJI,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Finland,FIN,..,..,7421.582,7473.70618,7206.5324,7009.28753,6844.54752,6531.47954,6721.83019,6861.10974,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,France,FRA,..,2915.69466,3942.38881,4073.25058,4154.81555,4233.6383,4307.48974,4414.69944,4561.11283,4715.31913,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,"Gambia, The",GMB,..,..,31.70743,..,..,..,..,..,..,52.89256,..,..
